Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
E1,2003-08-09,Bradford,Norwich,2,2,D,0,1,A,Scott Mathieson,16,5,9,3,7,14,8,5,1,2,0,0,2.375,3.2,2.625,2.4,3.2,2.7,2.2,3.1,2.8,2.4,3.25,2.5,2.38,3.2,2.63,2.37,3.2,2.62,2.3,3.2,2.62,1.85,1.85,1.9,1.8,1.8,2.0,0.0,2.05,1.8,-0.25,1.8,2.05,0.0
E1,2003-08-09,Burnley,Crystal Palace,2,3,A,2,2,D,C Foy,7,6,2,2,15,17,6,1,2,2,0,2,2.25,3.25,2.75,2.25,3.2,2.9,2.3,3.1,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.2,2.87,2.25,3.2,2.75,1.9,1.79,1.72,2.0,2.0,1.8,-0.25,2.05,1.8,-0.25,2.05,1.8,-0.25
E1,2003-08-09,Derby,Stoke,0,3,A,0,2,A,Howard Webb,13,11,5,7,11,19,6,5,2,2,0,0,1.8,3.25,4.0,1.8,3.25,4.15,1.75,3.3,3.8,1.8,3.2,4.0,1.73,3.25,4.33,1.72,3.25,4.33,1.72,3.25,4.2,1.9,1.79,1.9,1.8,1.8,2.0,-0.5,1.85,2.0,-0.5,1.85,2.0,-0.5
E1,2003-08-09,Ipswich,Reading,1,1,D,0,0,D,B Curson,13,7,4,4,8,20,2,6,1,3,0,1,1.833,3.25,3.75,1.9,3.25,3.75,1.8,3.3,3.6,1.909,3.25,3.4,1.8,3.25,4.0,1.8,3.25,4.0,1.83,3.2,3.75,1.95,1.75,1.83,1.83,1.9,1.88,-0.5,1.9,1.95,-0.5,2.0,1.85,-0.5
E1,2003-08-09,Millwall,Wigan,2,0,H,0,0,D,Andy Hall,10,11,4,8,17,20,4,6,1,5,0,0,2.0,3.25,3.25,2.0,3.25,3.4,2.0,3.2,3.1,2.0,3.2,3.2,1.91,3.25,3.5,1.9,3.25,3.5,2.0,3.2,3.2,1.85,1.85,1.83,1.83,2.0,1.8,-0.5,1.95,1.9,-0.5,2.1,1.75,-0.5
E1,2003-08-09,Nott'm Forest,Sunderland,2,0,H,2,0,H,M Ryan,8,15,6,10,13,17,17,6,0,3,0,0,2.2,3.25,2.8,2.15,3.25,3.05,2.1,3.2,2.9,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.2,2.8,1.85,1.85,1.9,1.8,1.9,1.9,-0.25,1.9,1.95,-0.25,1.975,1.875,-0.25
E1,2003-08-09,Preston,West Ham,1,2,A,1,1,D,P Danson,15,9,6,7,15,10,7,4,0,3,0,0,2.8,3.25,2.2,2.7,3.25,2.35,2.6,3.1,2.3,2.75,3.25,2.2,2.63,3.2,2.38,2.62,3.2,2.37,2.75,3.2,2.25,1.85,1.85,1.72,2.0,1.75,2.05,0.25,1.8,2.05,0.25,1.8,2.05,0.25
E1,2003-08-09,Rotherham,Cardiff,0,0,D,0,0,D,Peter Walton,12,6,5,4,11,7,8,6,1,1,0,0,2.3,3.2,2.7,2.4,3.25,2.65,2.3,3.1,2.6,2.2,3.25,2.75,2.25,3.25,2.75,2.3,3.2,2.75,2.4,3.25,2.5,1.85,1.85,1.9,1.8,1.8,2.0,0.0,2.0,1.85,-0.25,2.0,1.9,-0.25
E1,2003-08-09,Sheffield United,Gillingham,0,0,D,0,0,D,G Laws,12,8,8,1,13,22,4,4,0,2,0,0,1.571,3.4,5.5,1.6,3.4,5.4,1.6,3.4,4.6,1.615,3.25,5.0,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5.0,1.95,1.75,1.8,1.9,1.8,2.0,-0.75,1.8,2.05,-0.75,1.8,2.05,-0.75
E1,2003-08-09,Walsall,West Brom,4,1,H,3,0,H,T Bates,11,17,8,7,6,9,4,7,1,1,0,0,2.75,3.25,2.25,2.8,3.25,2.3,2.6,3.1,2.3,2.8,3.2,2.2,2.75,3.25,2.25,2.75,3.2,2.3,2.75,3.2,2.25,1.85,1.85,1.9,1.8,1.75,2.05,0.25,1.8,2.05,0.25,2.05,1.8,0.0
