,WHD,IWH,SBH,SBA,WHA,B365A,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,,1.45,1.44,6.5,,7.0,6.85,3.75,1.4,,5.4,,1.4,3.75,1.4,,2.5,3.8,3.8,,Club Brugge,Genk,Club Brugge_Genk_2003
1,5.0,1.3,1.2,10.0,9.5,10.0,9.25,6.0,1.167,1.22,8.0,,1.2,5.5,1.4,,2.5,4.2,5.5,,Anderlecht,Antwerp,Anderlecht_Antwerp_2003
2,3.4,2.9,2.62,2.25,2.3,2.25,2.35,3.5,2.5,2.5,2.1,,2.5,3.4,1.55,,2.1,3.2,3.35,,Charleroi,Lierse,Charleroi_Lierse_2003
3,3.5,1.9,1.9,3.4,3.2,3.2,3.5,3.5,1.909,1.9,3.2,,1.85,3.4,1.65,,1.95,3.4,3.35,,Germinal,Bergen,Germinal_Bergen_2003
4,3.6,1.9,1.72,4.0,4.0,3.75,3.65,3.6,1.727,1.66,3.2,,1.8,3.5,1.6,,2.05,3.4,3.4,,Lokeren,St Truiden,Lokeren_St Truiden_2003
5,3.5,1.85,1.8,3.6,3.8,3.5,3.5,3.5,1.8,1.72,3.4,,1.85,3.5,1.6,,2.05,3.3,3.45,,Westerlo,Louvieroise,Westerlo_Louvieroise_2003
6,3.4,2.3,2.25,2.6,2.5,2.5,2.5,3.5,2.25,2.3,2.3,,2.35,3.5,1.55,,2.15,3.4,3.35,,Beveren,Gent,Beveren_Gent_2003
7,3.4,2.1,2.1,2.87,3.0,2.75,2.9,3.5,2.1,2.0,2.8,,2.05,3.4,1.65,,1.95,3.3,3.45,,Heusden Zolder,Cercle Brugge,Heusden Zolder_Cercle Brugge_2003
8,3.5,2.5,2.62,2.25,2.2,2.25,2.25,3.5,2.5,2.62,2.2,,2.55,3.4,1.55,,2.15,3.3,3.5,,Mouscron,Standard,Mouscron_Standard_2003
9,3.4,2.3,2.1,3.0,3.3,2.75,3.2,3.5,2.1,1.85,2.6,,2.0,3.25,1.4,,2.45,3.1,3.2,,Antwerp,Westerlo,Antwerp_Westerlo_2003
10,3.4,2.2,2.5,2.4,2.4,2.3,2.4,3.4,2.5,2.35,2.8,,2.55,3.3,1.4,,2.6,3.1,3.2,,Beveren,St Truiden,Beveren_St Truiden_2003
11,4.4,1.4,1.36,7.5,7.0,7.0,7.25,4.333,1.333,1.3,6.0,,1.33,4.0,1.35,,2.75,3.9,4.2,,Genk,Charleroi,Genk_Charleroi_2003
12,3.5,2.9,3.5,1.83,1.8,1.8,1.9,3.5,3.5,3.5,2.1,,3.35,3.5,1.5,,2.3,3.2,3.3,,Gent,Anderlecht,Gent_Anderlecht_2003
13,3.5,1.75,1.75,3.75,3.8,3.5,3.85,3.5,1.8,1.7,3.8,,1.75,3.6,1.55,,2.2,3.3,3.4,,Louvieroise,Heusden Zolder,Louvieroise_Heusden Zolder_2003
14,3.45,2.0,2.1,2.87,2.8,2.75,3.0,3.5,2.1,2.05,3.1,,2.1,3.4,1.4,,2.6,3.2,3.2,,Bergen,Mouscron,Bergen_Mouscron_2003
15,4.5,8.0,8.0,1.33,1.28,1.364,1.33,4.0,7.0,8.0,1.3,,7.25,4.2,1.35,,2.75,4.2,4.2,,Cercle Brugge,Club Brugge,Cercle Brugge_Club Brugge_2003
16,3.6,1.9,1.72,4.0,3.75,3.75,3.7,3.6,1.727,1.72,3.3,,1.8,3.5,,,,3.3,3.4,,Standard,Lokeren,Standard_Lokeren_2003
17,3.7,1.6,1.53,5.5,5.0,5.5,5.0,3.6,1.5,1.5,4.6,,1.55,3.5,1.5,,2.3,3.4,3.6,,Lierse,Germinal,Lierse_Germinal_2003
18,3.45,2.3,2.25,2.7,2.55,2.625,2.95,3.5,2.2,2.2,2.6,,2.15,3.25,1.6,,2.1,3.1,3.2,,Heusden Zolder,Antwerp,Heusden Zolder_Antwerp_2003
19,5.0,1.4,1.3,7.5,8.0,8.0,8.0,4.5,1.286,1.25,6.0,,1.3,4.5,1.4,,2.6,3.9,4.5,,Anderlecht,St Truiden,Anderlecht_St Truiden_2003
20,6.0,1.2,1.16,11.0,10.0,11.0,10.0,5.5,1.167,1.16,10.0,,1.2,5.5,1.45,,2.45,5.0,5.5,,Club Brugge,Louvieroise,Club Brugge_Louvieroise_2003
21,4.0,1.4,1.44,6.0,5.75,5.0,5.4,3.6,1.533,1.4,6.0,,1.5,3.75,1.4,,2.6,3.9,3.8,,Lokeren,Beveren,Lokeren_Beveren_2003
22,3.4,2.3,2.3,2.5,2.45,2.375,2.5,3.5,2.375,2.3,2.6,,2.4,3.4,,,,3.1,3.3,,Mouscron,Lierse,Mouscron_Lierse_2003
23,3.75,1.45,1.44,6.0,7.0,6.0,5.7,3.75,1.444,1.4,5.4,,1.45,3.75,1.6,,2.1,3.8,4.0,,Standard,Bergen,Standard_Bergen_2003
24,3.4,2.2,2.4,2.4,2.4,2.5,2.6,3.5,2.25,2.35,2.7,,2.4,3.4,1.6,,2.1,3.2,3.2,,Westerlo,Gent,Westerlo_Gent_2003
25,3.5,1.8,1.85,3.5,3.35,3.2,3.5,3.5,1.909,1.8,3.6,,1.9,3.4,1.65,,2.0,3.3,3.3,,Charleroi,Cercle Brugge,Charleroi_Cercle Brugge_2003
26,3.3,2.4,2.6,2.3,2.4,2.25,2.25,3.5,2.5,2.4,2.4,,2.8,3.25,,,,3.2,3.2,,Germinal,Genk,Germinal_Genk_2003
27,3.4,2.4,2.6,2.3,2.3,2.5,2.55,3.25,2.4,2.5,2.4,,2.35,3.3,1.71,,1.95,3.2,3.3,,Lierse,Standard,Lierse_Standard_2003
28,6.0,1.15,1.16,12.0,10.0,,11.5,,,1.16,12.0,,1.16,5.75,1.35,,2.75,6.0,5.7,,Anderlecht,Beveren,Anderlecht_Beveren_2003
29,3.8,4.6,5.5,1.53,1.5,1.533,1.6,3.75,5.0,5.0,1.6,,4.6,3.6,1.5,,2.3,3.4,3.6,,Antwerp,Club Brugge,Antwerp_Club Brugge_2003
