,LBD,WHA,IWD,GBH,WHH,GBA,B365H,B365AH,B365<2.5,LBH,LBAHH,SOD,B365D,SBD,SBH,B365>2.5,GB>2.5,WHD,SOA,IWA,LBAHA,LBA,SBA,GB<2.5,GBAHH,B365AHA,GBD,LBAH,GBAH,IWH,GBAHA,B365A,B365AHH,SOH,HomeTeam,AwayTeam,idGame
0,4.0,8.0,4.0,1.44,1.28,7.0,1.4,-1.25,2.1,1.3330000000000002,1.9,3.75,3.8,3.75,1.4,1.7,1.75,4.5,7.5,7.0,1.95,8.0,7.5,1.95,1.9,1.925,4.0,-1.25,-1.25,1.35,1.9,8.0,1.975,1.4,Arsenal,Everton,Arsenal_Everton_2003
1,3.2,2.8,3.0,2.35,2.2,2.8,2.375,-0.25,1.85,2.2,1.75,3.25,3.25,3.2,2.25,1.95,1.85,3.2,2.75,2.5,2.1,2.8,2.8,1.85,2.05,1.8,3.25,0.0,-0.25,2.5,1.75,2.75,2.1,2.25,Birmingham,Tottenham,Birmingham_Tottenham_2003
2,3.5,5.0,3.2,1.68,1.57,5.0,1.615,-0.75,1.9,1.615,2.0,3.4,3.4,3.4,1.57,1.9,1.85,3.5,5.5,4.2,1.85,4.5,5.5,1.85,1.95,1.95,3.4,-0.75,-0.75,1.7,1.85,5.5,1.95,1.57,Blackburn,Wolves,Blackburn_Wolves_2003
3,3.2,2.62,3.1,2.4,2.3,2.7,2.3,-0.25,1.7,2.375,1.85,3.25,3.25,3.2,2.2,2.1,1.95,3.2,2.8,3.0,2.0,2.6,2.87,1.75,1.8,1.8,3.25,0.0,0.0,2.1,2.0,2.8,2.1,2.2,Fulham,Middlesbrough,Fulham_Middlesbrough_2003
4,3.2,2.62,3.1,2.5,2.3,2.6,2.5,0.0,1.8,2.5,1.85,3.2,3.2,3.2,2.4,2.0,1.95,3.2,2.63,2.8,2.0,2.5,2.6,1.75,1.85,2.05,3.25,0.0,0.0,2.2,1.95,2.6,1.85,2.38,Leicester,Southampton,Leicester_Southampton_2003
5,4.5,9.5,4.2,1.3,1.22,9.0,1.286,-1.75,2.2,1.25,1.95,5.0,4.5,5.0,1.25,1.66,1.65,5.0,8.5,8.0,1.9,10.0,9.0,2.1,1.95,1.85,4.8,-1.75,-1.75,1.3,1.85,10.0,2.05,1.25,Man United,Bolton,Man United_Bolton_2003
6,3.2,2.62,3.0,2.4,2.3,2.7,2.375,-0.25,1.9,2.375,2.1,3.3,3.25,3.2,2.25,1.9,1.9,3.2,2.8,2.6,1.75,2.6,2.8,1.8,2.05,1.8,3.25,-0.25,-0.25,2.4,1.75,2.75,2.1,2.38,Portsmouth,Aston Villa,Portsmouth_Aston Villa_2003
7,3.2,2.5,3.1,2.38,2.37,2.75,2.25,0.0,1.95,2.25,2.05,3.25,3.4,3.2,2.3,1.85,1.9,3.3,2.75,3.0,1.8,2.75,2.75,1.8,2.05,2.1,3.25,-0.25,-0.25,2.1,1.75,2.75,1.8,2.25,Charlton,Man City,Charlton_Man City_2003
8,3.2,2.1,3.0,2.85,3.0,2.3,2.75,0.25,2.0,2.8,1.8,3.4,3.25,3.2,2.62,1.8,1.8,3.2,2.25,2.3,2.05,2.2,2.37,1.9,1.8,2.075,3.25,0.25,0.25,2.7,2.0,2.375,1.825,2.9,Leeds,Newcastle,Leeds_Newcastle_2003
9,3.2,2.8,3.0,2.25,2.3,3.25,2.25,-0.25,1.9,2.25,2.05,3.3,3.25,3.2,2.2,1.9,1.9,3.0,3.0,2.7,1.8,2.75,2.87,1.8,2.05,1.8,3.25,-0.25,-0.25,2.3,1.85,2.875,2.1,2.25,Liverpool,Chelsea,Liverpool_Chelsea_2003
10,3.25,2.5,3.0,2.5,2.5,2.6,2.5,0.0,1.8,2.5,1.95,3.2,3.3,3.2,2.4,2.0,1.85,3.1,2.5,2.6,1.9,2.4,2.6,1.85,1.9,1.95,3.25,0.0,0.0,2.4,1.9,2.5,1.95,2.5,Bolton,Blackburn,Bolton_Blackburn_2003
11,4.5,9.5,4.5,1.26,1.22,10.0,1.25,-1.5,2.05,1.25,1.75,5.0,5.0,5.0,1.25,1.75,1.6,5.0,10.0,9.0,2.1,10.0,9.0,2.15,1.75,2.125,5.0,-1.5,-1.5,1.25,2.05,10.0,1.775,1.22,Chelsea,Leicester,Chelsea_Leicester_2003
12,3.4,4.0,3.1,1.85,1.72,4.0,1.8,-0.5,1.7,1.7269999999999999,1.8,3.4,3.4,3.25,1.72,2.1,1.9,3.4,4.5,3.8,2.05,4.0,4.33,1.79,1.8,2.05,3.3,-0.5,-0.5,1.8,2.0,4.0,1.85,1.67,Everton,Fulham,Everton_Fulham_2003
13,3.5,4.33,3.3,1.67,1.66,5.0,1.6669999999999998,-0.75,1.9,1.615,1.8,3.4,3.6,3.4,1.66,1.9,1.85,3.4,4.5,4.4,2.05,4.5,4.5,1.85,1.8,2.075,3.4,-0.75,-0.75,1.65,2.0,4.5,1.825,1.67,Man City,Portsmouth,Man City_Portsmouth_2003
14,3.25,2.2,3.0,3.1,2.87,2.1,3.0,0.25,2.1,2.75,2.1,3.4,3.2,3.25,3.0,1.7,1.65,3.1,2.2,2.1,1.75,2.2,2.1,2.05,2.3,1.875,3.4,0.25,0.0,3.1,1.6,2.2,2.025,3.0,Newcastle,Man United,Newcastle_Man United_2003
15,3.2,3.5,3.1,2.0,1.9,3.6,1.909,-0.5,1.7,2.0,2.0,3.25,3.25,3.2,1.9,2.1,2.0,3.2,3.5,3.5,1.85,3.2,3.6,1.71,1.95,1.9,3.2,-0.5,-0.5,1.9,1.85,3.75,2.0,1.91,Southampton,Birmingham,Southampton_Birmingham_2003
16,3.2,3.0,3.1,2.1,2.1,3.3,2.0,-0.25,1.85,2.1,2.0,3.25,3.25,3.2,2.2,1.95,1.85,3.2,3.0,3.2,1.85,3.0,2.9,1.85,2.0,1.875,3.2,-0.25,-0.25,2.0,1.8,3.4,2.025,2.1,Tottenham,Leeds,Tottenham_Leeds_2003
17,3.2,2.8,3.0,2.35,2.25,2.75,2.375,0.0,1.75,2.25,2.05,3.2,3.25,3.2,2.25,2.05,1.85,3.1,2.62,2.9,1.8,2.75,2.8,1.85,2.05,2.1,3.3,-0.25,-0.25,2.2,1.75,2.7,1.8,2.38,Wolves,Charlton,Wolves_Charlton_2003
18,3.25,2.1,3.0,3.1,3.1,2.15,3.0,0.25,1.75,2.75,,3.4,3.2,3.2,2.87,2.05,1.85,3.1,2.2,2.1,,2.2,2.2,1.85,1.95,1.95,3.3,,0.25,3.1,1.85,2.2,1.95,3.0,Aston Villa,Liverpool,Aston Villa_Liverpool_2003
19,3.2,1.72,3.1,4.4,4.2,1.75,4.0,0.5,1.85,4.0,2.05,3.4,3.4,3.25,4.33,1.95,1.75,3.25,1.8,1.8,1.8,1.8,1.72,1.95,1.65,1.85,3.4,0.5,1.0,3.8,2.2,1.8,2.05,4.33,Middlesbrough,Arsenal,Middlesbrough_Arsenal_2003
20,3.4,3.2,3.1,2.0,2.0,3.5,2.0,-0.5,1.9,2.0,2.0,3.5,3.25,3.25,1.9,1.9,1.79,3.2,3.75,3.6,1.85,3.0,3.5,1.9,1.95,1.8,3.2,-0.5,-0.5,1.85,1.85,3.4,2.1,1.91,Blackburn,Man City,Blackburn_Man City_2003
21,3.2,2.6,3.0,2.4,2.4,2.7,2.375,,1.85,2.25,1.75,3.25,3.2,3.2,2.3,1.95,1.85,3.1,2.75,2.9,2.1,2.75,2.7,1.9,1.75,,3.25,0.0,0.0,2.2,2.05,2.75,,2.25,Charlton,Everton,Charlton_Everton_2003
22,3.4,3.2,3.1,2.05,2.0,3.35,2.0,,1.8,2.0,1.85,3.25,3.25,3.25,2.0,2.0,1.85,3.2,3.25,3.5,2.0,3.0,3.25,1.85,1.8,,3.25,-0.25,-0.25,1.9,2.0,3.4,,2.0,Leeds,Southampton,Leeds_Southampton_2003
