,WHD,IWH,LBA,SBH,SBA,SOA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.2,2.3,2.5,2.4,2.6,2.6,3.0,3.0,2.4,2.85,3.25,2.1,2.1,2.4,3.2,2.7,1.75,2.2,3.2,1.85,-0.25,1.85,3.0,3.25,3.25,2.05,Dundee United,Hibernian,Dundee United_Hibernian_2003
1,4.5,8.0,1.2,8.5,1.28,1.29,1.28,1.25,11.0,1.28,5.0,9.0,8.0,8.5,4.5,1.3,,8.5,4.5,1.45,,2.5,4.2,5.0,4.7,,Dunfermline,Celtic,Dunfermline_Celtic_2003
2,3.4,1.75,3.75,1.72,4.33,4.33,4.0,4.5,1.8,4.2,3.6,1.615,1.72,1.73,3.25,4.0,1.8,1.7,3.25,1.79,-0.75,1.9,3.2,3.25,3.5,2.0,Hearts,Aberdeen,Hearts_Aberdeen_2003
3,3.1,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.2,2.5,2.5,2.5,3.2,2.5,1.8,2.5,3.2,1.85,0.0,1.85,3.0,3.25,3.2,2.0,Motherwell,Dundee,Motherwell_Dundee_2003
4,3.2,2.3,2.625,2.25,2.75,2.75,2.75,2.7,2.25,2.75,3.2,2.3,2.25,2.25,3.25,2.7,1.75,2.25,3.25,1.79,-0.25,1.9,3.0,3.4,3.3,2.05,Partick,Livingston,Partick_Livingston_2003
5,6.0,1.2,15.0,1.14,13.0,13.0,12.0,12.0,1.125,13.0,6.5,1.143,1.14,1.14,6.0,10.0,,1.14,6.0,1.4,,2.65,5.0,6.0,6.35,,Rangers,Kilmarnock,Rangers_Kilmarnock_2003
6,4.0,7.0,1.286,9.0,1.28,1.29,1.33,1.286,8.0,1.3,4.5,9.0,8.0,8.5,4.5,1.35,,8.35,4.5,1.6,,2.15,4.0,4.5,4.5,,Aberdeen,Rangers,Aberdeen_Rangers_2003
7,6.0,1.15,15.0,1.14,15.0,15.0,12.0,13.0,1.143,13.0,5.5,1.167,1.14,1.14,6.0,12.0,,1.15,6.0,1.5,,2.35,6.0,5.5,6.0,,Celtic,Dundee United,Celtic_Dundee United_2003
8,3.4,1.8,4.5,1.66,4.5,4.5,4.33,4.5,1.615,4.1,3.4,1.667,1.66,1.67,3.4,3.7,1.9,1.7,3.4,1.95,-0.75,1.75,3.2,3.5,3.55,1.9,Kilmarnock,Partick,Kilmarnock_Partick_2003
9,3.3,1.8,3.75,1.83,3.75,3.75,3.75,3.75,1.727,3.8,3.4,1.8,1.8,1.83,3.25,3.7,2.0,1.8,3.3,1.71,-0.5,1.95,3.2,3.5,3.4,1.8,Livingston,Motherwell,Livingston_Motherwell_2003
